Player Name	Adventurer Name	Adventurer URL	Spirit Core (Current)	Race	Sub-Race	Tier 1 Class	Tier 2 Class	Tier 3 Class	Exepdition Departure	Expedition Return	IP Lockout End
Zero Terminus (Rue)	Zero Terminus	https://docs.google.com/spreadsheets/d/1mOHejPVdEomUUHq04856H2kMwbiwHIRx/edit?usp=sharing&ouid=102703316609933324765&rtpof=true&sd=true		1665	Human-Chimera	Phoenix	Ranger, Rogue	Animal Summoner			
Phantomxz	Sarah	https://docs.google.com/spreadsheets/d/1u0vbL_gKOOCWjTkPmgZz4hxK5EW5B5t7/edit?gid=1997331408#gid=1997331408		1265	Chimera	Centaur	Martial Artist, Rogue, Cavalier	​			
Kita Ro-Ro (Azorinth)	Kita Ro-Ro	https://docs.google.com/spreadsheets/d/1u5sb8Qo2yhtxmKVSfUXGllXKyTENJVsO/edit?usp=sharing&ouid=111118343248048018516&rtpof=true&sd=true		1000	Chimera	Dogfolk	Fighter	Guardian			
Shinraku	Shinraku	https://docs.google.com/spreadsheets/d/12uEV4okV3oKZGX_fDZ_obfk32z_GxP0v/edit?gid=1997331408#gid=1997331408		1420	Youkai	Oni	Alchemist	Alchemeister			
Rai (Alkavi)	Rai	https://docs.google.com/spreadsheets/d/1hR86tlPUVYx_Mk1ol1tXb2duFE-L9wv7/edit?usp=sharing&ouid=104187462070454197980&rtpof=true&sd=true		1820	Youkai	Raijin	Blacksmith, Fighter, Rogue	Forgemaster			
Wahaha	Susie	https://docs.google.com/spreadsheets/d/12F862V_Pq84OV3fXpZ3L2P2YM8im5aR9/edit?usp=sharing&ouid=101100012439895691789&rtpof=true&sd=true		1390	Youkai	Jiangshi	Alchemist	Necromancer			
Elise (MyMemories3)	Elise Tamrei	https://docs.google.com/spreadsheets/d/1lbqYOOqu3prZRpoZr5XBjEqu0kHpegcv/edit?gid=1997331408#gid=1997331408		2020	Fae	Gnome	Mage	Faerie Light Eyes	5/2/2025	5/28/2025	6/3/2025
Draig	Draig	https://docs.google.com/spreadsheets/d/e/2PACX-1vRVZL1dBAIvyb5IqLj09Cqm3aQcIQsVpwPgEzMAjsqZT2VTjD2ZGBMjUeB5Qx4dIw/pubhtml		2035	Human-Chimera	Phoenix	Rogue, Adventurer, Martial Artist	Ninja			
Icarus	Icarus	https://docs.google.com/spreadsheets/d/1Y0aTSQFeYDxXP_UHadCVMSj2zp8JRh-k9bu7y2Cv9gk/edit?gid=1910447226#gid=1910447226		1640	Human	Divine Protection	​	Bard, Shieldwarden	5/1/2025	5/15/2025	5/20/2025
Dogbert Wallmann	Dogbert Wallmann	https://docs.google.com/spreadsheets/d/1_aykjnSfgBQ2DFp5BtEkd6myvMeq3fgX/edit?gid=1997331408#gid=1997331408		1685	Human-Chimera	Dogfolk	Fighter	Shield Paladin			
Avolthe Ar'Wrynfel (Dylons)	Avolthe Ar'Wrynfel	https://docs.google.com/spreadsheets/d/1EJzIozkUMOtv0ybZjiuF8UkvDRnzkT7U/edit?gid=1997331408#gid=1997331408		2005	Demon	Ar	Mage	Bard, Chronomancer			
Turos Kensei	Leo Barrak	https://docs.google.com/spreadsheets/d/1lxtT1QTmiwZNfoa37l8F3AZASLov5hLn/edit?usp=sharing&ouid=113351362468564061511&rtpof=true&sd=true		1370	Human	Divine Protection	Acolyte, Adventurer, Fighter, Forager	​			
Zolong Duskblade	Zolong Duskblade	https://docs.google.com/spreadsheets/d/1dM8jz1B3DnmJ3eDO6YVzemt2jY914UeGm1Pc3FZCMPk/edit?usp=sharing		1100	Fae	High Fae	Rogue	Shadow Thief	5/12/2025	5/21/2025	5/27/2025
Sinner	"""Bunny King"" Maxis"	https://docs.google.com/spreadsheets/d/1KwsWK0RAa9kVL5hkiYMXg7nCt1c6gyDL/edit?usp=sharing&ouid=107001843366624612417&rtpof=true&sd=true		1505	Chimera	Rabbitfolk	Acolyte	Battle Mage, Bloodbinder			
Maunomau (Noar)	Noar	https://docs.google.com/spreadsheets/d/1v2_6uqWeUTcHBC1oJO93m_gBl_2upLw7/edit?usp=sharing&ouid=100349875529504309833&rtpof=true&sd=true		1400	Human-Chimera	Dogfolk	Fighter	Bard, Shield Paladin			
Alaric Windhill (Taikanarri)	Alaric Windill	https://docs.google.com/spreadsheets/d/1dsOFX7YBZvpinXpqAdO3HBAWW1rzeVtd/edit?usp=sharing&ouid=100411381291678387259&rtpof=true&sd=true		1440	Human	Divine Protection	​	Windbringer, Sword Paladin, Battle Mage			
Emperor Jerod	Kuzo Yorita	https://docs.google.com/spreadsheets/d/1oTxvH4UBKkpGUzOdmzKU4UfQpDOmSd0x/edit?gid=294044971#gid=294044971		1000	Youkai	Ancient Marionette	Mage, Alchemist, Acolyte	​			
Vajra (mightygerm)	Vajra	https://docs.google.com/spreadsheets/d/1NQzLD5E7GzUlz7VdABewLZofzPMX-eDP/edit?gid=1997331408#gid=1997331408		1000	Youkai	Raijin	​	Electromancer, Battle Mage			
Garael Blanchweyld (PeasantKyr)	Garael Blanchweyld	https://docs.google.com/spreadsheets/d/1nZ3btPk5dfXlVl5e3_zzblg7Lsr-OVRuvpPnPq_V5Os/edit?gid=1997331408#gid=1997331408		1325	Fae	Dullahan	Fighter	Shieldwarden			
Lunatic | Roslyn Reinhardt	"Roslyn Reinhardt ""Ros"""	https://docs.google.com/spreadsheets/d/1Uzbpc6dqLzqya-VzJZ_ZRIlifiKnHg_X/edit?usp=sharing&ouid=115465355942803541036&rtpof=true&sd=true		1100	Human	Divine Protection	Adventurer, Acolyte	Shield Paladin			
Florentino	Finia Padfoot	https://docs.google.com/spreadsheets/d/1lvbm1HVZnltWn-BCNd_Rtrkb5TDDhjoC/edit?gid=1997331408#gid=1997331408		1640	Chimera	Catfolk	Ranger, Acolyte	Shieldwarden			
Draco9889	Draco Kyrios	https://docs.google.com/spreadsheets/d/1cepzK9Ozhy__mn3WwtoNaKnMKaVC7Wfx/edit?gid=1997331408#gid=1997331408		1000	Fae	Salamander	Fighter, Mage, Adventurer	​			
Aranea Kaminari (Day)	Aranea Kaminari	https://docs.google.com/spreadsheets/d/11jnau8uSoMt723ndZJG_PFR-0zS6_uIJDzwn422khQM/edit?usp=sharing		1400	Youkai	Kitsune	Mage	Electromancer			
Aoyama, Shiro (Mordivandros)	Shiro Aoyama	https://docs.google.com/spreadsheets/d/12r81xdASHuFZguOEbgDtgfGISpQapiYu/edit?usp=sharing&ouid=107540010604117561993&rtpof=true&sd=true		1225	Youkai	Yuki-onna	Martial Artist, Ranger	Cryomancer			
Aki (Mega Mike 70)	Aki Nerys	https://docs.google.com/spreadsheets/d/11ZkVW8TzmVCHvZ3IoFpzADyudch5ijkd/edit?usp=sharing&ouid=100255924412336433744&rtpof=true&sd=true		1205	Youkai	Yuki-onna	Alchemist, Mage	Cryomancer	5/12/2025	5/21/2025	5/27/2025
Hannah Suffolk (Velvet Crowe)	Hannah Suffolk	https://docs.google.com/spreadsheets/d/1lmDUJVYAb6NB_iWQEW4OpBEzzw__U1XL/edit?gid=1997331408#gid=1997331408		1300	Chimera	Dogfolk	Fighter	Guardian			
Cendarion Ordir(Claw)	Cendarion Ordir	https://docs.google.com/spreadsheets/d/1vz4dHxdcSxHs_dyPVEYEfL9U1Y7iQlvM/edit?usp=sharing&ouid=111986131275884761407&rtpof=true&sd=true		1175	Fae	Cait Sith	Rogue, Ranger, Adventurer	​			
Leaflit	Queri	https://docs.google.com/spreadsheets/d/19c19pjdoyLGabkljTglQj79zCRech6Jm/edit?gid=95407551#gid=95407551		1880	Fae	Pixie	Alchemist, Transmuter, Fighter	Alkahest	5/2/2025	5/28/2025	6/3/2025
Kuroshiro (RognarB)	Kuroshiro	https://docs.google.com/spreadsheets/d/1CD5JXclbS5LAGobaZ5ZH50mfB6KUkgZz/edit?usp=sharing&ouid=101615191085713643468&rtpof=true&sd=true		1265	Youkai	Kitsune	Rogue	Saboteur	5/1/2025	5/15/2025	5/20/2025
Gin Pakkun (ARC)	Gin Pakkun	https://docs.google.com/spreadsheets/d/1ewWCf7cuPKsBkbZ0qRiUmTVisvhHOVOS/edit?usp=sharing&ouid=114685559888350341393&rtpof=true&sd=true		1000	Chimera	Dogfolk	Cavalier, Fighter	​			
Bobo (Jack Slurpee)	Bobo	https://docs.google.com/spreadsheets/d/11m8LWzDIvC7tjDLKsoVP3YHbsQB02GP4/edit?usp=sharing&ouid=100275211249997859484&rtpof=true&sd=true		1015	Youkai	Jiangshi	Acolyte	Shieldwarden	5/1/2025	5/15/2025	5/20/2025
Daimus D' Phnom (mightygerm)	Daimus D' Phnom	https://docs.google.com/spreadsheets/d/1N46iNXUJx-7qmoa0myRIRrb-3wILMHZu/edit?usp=sharing&ouid=113614747793717102959&rtpof=true&sd=true		1565	Demon	D'	Mage, Fighter	Spellblade			
Stout (invisi)	Stout Tou	https://docs.google.com/spreadsheets/d/e/2PACX-1vTPeg_Md6bbrpoBfp512jJ1ErXOH0PExs25M4RJaZt8X_AbZqsASOFyKMg_IVEpcA/pubhtml		1210	Fae	Salamander	Acolyte	Bard			
Takeshi Satoshi (John_Softpaw)	Takeshi Satoshi	https://docs.google.com/spreadsheets/d/1FiFGUCoCIULrx9Id61xaIUwTffB9vFsnYlk-7OQuJt4/edit?usp=sharing		1100	Youkai	Oni	Martial Artist	Wave Palm Style			
BLiNX	Hiscibus	https://docs.google.com/spreadsheets/d/1bQrCg3ZjG_NGqM-wYGlnMuU9x6LNPu_I/edit?usp=sharing&ouid=112753295979445814324&rtpof=true&sd=true		1050	Fae	Dullahan	Adventurer, Fighter	Shield Paladin	5/12/2025	5/21/2025	5/27/2025
Ryugo	Tenshi Mura	https://docs.google.com/spreadsheets/d/1XWNItf7QhLjTCqW2ftEfiMAoHOduKmGn/edit?gid=1997331408#gid=1997331408		1050	Youkai	Jiangshi	Adventurer	Iaido Style			
Synric	Synric Er'Ceidryn	https://docs.google.com/spreadsheets/d/1lFMEgace6mJBoo4_4kk3VQ29anUbeF5o/edit?gid=1997331408#gid=1997331408		1150	Fae	Salamander	Mage, Martial Artist, Ranger	Spellblade			
Morialis_	Mori Shinsaka	https://docs.google.com/spreadsheets/d/1oyMacgT54LZW6q2Qdw77mDZ2ck3iceOi_ChdZuJwAXQ/edit?gid=1562682898#gid=1562682898		1125	Youkai	Kitsune	Rogue	Time Thief			
takurov	Vadi Strongholm	https://docs.google.com/spreadsheets/d/1wrfi_7e-tZwHI7Ux2i6GKFE8HRE97tps/edit?gid=1997331408#gid=1997331408		1225	Human	​	Fighter	Sword Paladin			
Jckun	Teo	https://docs.google.com/spreadsheets/d/1orgtsOZfprIB236XpMkM0uHXbWU8PsbG/edit?gid=1997331408#gid=1997331408		900	Fae	Dullahan	Cavalier	​			
Mr Carter	Nicholas Vi Morrow	https://docs.google.com/spreadsheets/d/1hywxBMNzGJZPsD9GNDZCYdnW1Nz-gFKF/edit?gid=1997331408#gid=1997331408		1065	Demon	Vi	Alchemist	Alchemeister			
Ayra	Rin	https://docs.google.com/spreadsheets/d/1okJw7brAsfytu9NNQLiPwDz5iQEoDJH0/edit?gid=1997331408#gid=1997331408		950	Youkai	Tengu	Farmer	​			
truthsm	Orianne Carroll	https://docs.google.com/spreadsheets/d/1lUcmDLaQAyXqN75rTn_4lbXq1u5XJC4g/edit?gid=1997331408#gid=1997331408		1150	Chimera	Rabbitfolk	Transmuter	Bloodbinder	5/12/2025	5/21/2025	5/27/2025
Tay Lir'Lord	Ray Lir'Lord	https://docs.google.com/spreadsheets/d/1P8xBqovQXMp8ZKrz4j4f062FYVxhBNkI/edit?gid=1997331408#gid=1997331408		1250	Demon	Lir	Ranger	Archer, Marksman			
Mightygerm	Earthwhisper	https://docs.google.com/spreadsheets/d/1J_aC8NY77y5JGsJiggXZ_iPGQB-Ib7Sh/edit?gid=1997331408#gid=1997331408		1397	Fae	Pixie	Miner, Forager	Summoner			
Sartory	Corscryf	https://docs.google.com/spreadsheets/d/1LurqGze2T5-u30lR10RuG0wFLDtdG2fn/edit?gid=1997331408#gid=1997331408		1060	Chimera	Lizardfolk	Fighter, Farmer, Adventurer	​			
Don Bon	Rain Falls Goodbye	https://docs.google.com/spreadsheets/d/1HO8X0N0vWAros5lcDhegLifEbC4YovPM4rsmgxBsfVY/edit?gid=1997331408#gid=1997331408		1950	Youkai	Tengu	Martial Artist	Monk			
Wahaha	Minerva	https://docs.google.com/spreadsheets/d/1QQcGc50OLk4woMGa9Qspr55-JIhKrgbD/edit?gid=1997331408#gid=1997331408		1295	Chimera	Wolf-folk	Ranger, Carpenter, Forager	​			
Ryugo	Bakari Nasser	https://docs.google.com/spreadsheets/d/1Z35bBzVgxEGqpxlJrecxgvTR16sNKF1W/edit?gid=1997331408#gid=1997331408		1160	Fae	Anubis	Farmer, Fighter	Sword Paladin			
Joe Chapman	Joe Chapman	https://docs.google.com/spreadsheets/d/1BhtVPOoWRGxvMVMFEDQcngQ-ytCfeIht/edit?gid=1997331408#gid=1997331408		1125	Human	​	Cavalier	Hussar			
Vim N Vigor	Nepthyn	https://docs.google.com/spreadsheets/d/1qUO9EcomrjjCLX7AvsR3Dii4YtthEyBW/edit?gid=1997331408#gid=1997331408		1300	Fae	Anubis	​	Aetherie, Oracle			
Fealoke	Argent Galesong	https://docs.google.com/spreadsheets/d/1x5XJVs1uCOvr5wKHNp_kdr16GuXIZIOlUuMNjlnWMFI/edit?gid=1997331408#gid=1997331408		1050	Fae	Cait Sith	Rogue	Flash Star Blade Style			
Phantomxz	Alice	https://docs.google.com/spreadsheets/d/1dspBvhYpQ60XOnxVfKYY-r0dxhxXcbkl/edit?gid=1997331408#gid=1997331408		1135	Fae	Dullahan	Transmuter, Fighter	Berserker			
Ragulmadon	Crassus Wrightson	https://docs.google.com/spreadsheets/d/1UPIFpceDEj3CmknWPVMG9rGssCRTlE1j/edit?usp=drivesdk&ouid=102692799981417481776&rtpof=true&sd=true		1170	Human	​	Carpenter	Timberwright			
